"ID","Name","LocalizedName","ID","AttachPoint","TargetIds","AppType","Property","Val1","Val2","Enchantment","Curve"
"007992f4","mod_Meltdown_Receiver_Overclocked","Overclocked Capacitor","007992f4","00024004_ap_gun_receiver","007970e7_ma_Meltdown"
"","","","005ae91c","","","Add","Keywords","005ae936 / IsAmmoType_FusionCell",2,"",""
"","","","007992f4","","","MullAdd","Weight",0.2,0.0,"",""
"","","","007992f4","","","MullAdd","Keywords","000a191c / s_30_Auto",2,"",""
"","","","007992f4","","","Add","DamageBonusMult",0.25,0.25,"",""
"","","","007992f4","","","Add","prop112",0.1,0.1,"",""
"","","","007992f4","","","Add","prop111",0.01,0.01,"",""
"","","","007992f4","","","Add","AmmoCapacity",-30,-30,"",""
"","","","007992f4","","","Add","Keywords","00163038 / dn_HasReceiver_Standard",2,"",""
"007992f6","mod_Meltdown_Receiver_Cyclic","Cyclic Capacitor","007992f6","00024004_ap_gun_receiver","007970e7_ma_Meltdown"
"","","","005ae91c","","","Add","Keywords","005ae936 / IsAmmoType_FusionCell",2,"",""
"","","","007992f6","","","MullAdd","Weight",0.35,0.0,"",""
"","","","007992f6","","","MullAdd","Keywords","000a191c / s_30_Auto",2,"",""
"","","","007992f6","","","Add","ConeIncrease",0.15,0.15,"",""
"","","","007992f6","","","Add","prop111",-0.005,-0.005,"",""
"","","","007992f6","","","Add","Speed",0.25,0.25,"",""
"","","","007992f6","","","Add","Keywords","00163038 / dn_HasReceiver_Standard",2,"",""
"00797695","_PARENT_mod_WEAPON_GENERIC_Burning_Split3","Flaming","00797695","0005524c_ap_melee_MeleeMod","000b974f_ma_TEMPLATE"
"","","","00797695","","","MullAdd","AttackDamage",0.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_Damage_Split3Even_Primary.json
{'curve': [{'x': 1, 'y': 0}, {'x': 100, 'y': 0}]}"
"","","","00797695","","","MullAdd","DamageTypeValues","00060a82 / dtFire",0.0,"{'id': '00060a82', 'name': 'dtFire', 'full': 'Fire Damage'}","Weapons\WeaponMods\Weapon_PARENT_Mod_Damage_Split3Even_Secondary.json
{'curve': [{'x': 1, 'y': 0}, {'x': 100, 'y': 0}]}"
"","","","00797695","","","Add","Keywords","0051850d / WeaponTypeFireDamage",2,"",""
"00797694","_PARENT_mod_WEAPON_GENERIC_Poisoned_Split3","Poisoned","00797694","0005524c_ap_melee_MeleeMod","000b974f_ma_TEMPLATE"
"","","","00797694","","","MullAdd","AttackDamage",0.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_Damage_Split3Even_Primary.json
{'curve': [{'x': 1, 'y': 0}, {'x': 100, 'y': 0}]}"
"","","","00797694","","","MullAdd","DamageTypeValues","00060a84 / dtPoison",0.0,"{'id': '00060a84', 'name': 'dtPoison', 'full': 'Poison Damage'}","Weapons\WeaponMods\Weapon_PARENT_Mod_Damage_Split3Even_Secondary.json
{'curve': [{'x': 1, 'y': 0}, {'x': 100, 'y': 0}]}"
"","","","00797694","","","Add","Keywords","0004b25b / DamageTypePoison",2,"",""
"00796fa8","_PARENT_mod_WEAPON_Receiver_Automatic_Solo_NoAPReduction","TEMPLATE: Automatic Receiver","00796fa8","00024004_ap_gun_receiver",""
"","","","00796fa8","","","Set","IsAutomatic",1,1,"",""
"","","","00796fa8","","","Set","Speed",0.825,0.0,"",""
"","","","00796fa8","","","MullAdd","MaxRange",-1.0,0.0,"",""
"","","","00796fa8","","","MullAdd","MinRange",-1.0,0.0,"",""
"","","","00796fa8","","","MullAdd","Weight",0.1,0.0,"",""
"","","","00796fa8","","","MullAdd","Value",0.4,0.0,"",""
"","","","00796fa8","","","Add","DamageBonusMult",-0.1,0.0,"",""
"","","","00796fa8","","","Add","Durability",-5,0,"",""
"00780410","mod_Legendary_Weapon_Crafted","","00780410","006214d8_ap_Legendary_Crafting","00787e6e_ma_legendarycrafting_weapon"
"","","","00780410","","","Add","Keywords","00499f7a / NonPlayerTradable",2,"",""
"00797d0c","zzzmod_Meltdown_Barrel_HipAccuracy","True Automatic Barrel","00797d0c","0002249d_ap_gun_Barrel",""
"","","","0027abfa","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0027abfa","","","MullAdd","MaxRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
"","","","0027abfa","","","MullAdd","MinRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
"","","","0027abfa","","","MullAdd","Value",0.2,0.0,"",""
"","","","0027abfa","","","Add","Durability",-3,0,"",""
"","","","00524416","","","MullAdd","RecoilMaxDegree",0.5,0.0,"",""
"","","","00524416","","","MullAdd","RecoilMinDegree",0.5,0.0,"",""
"","","","00524414","","","MullAdd","ConIronSights",-0.1,0.0,"",""
"","","","00524414","","","MullAdd","MaxConDegree",-0.25,0.0,"",""
"","","","00524414","","","MullAdd","MinConDegree",-0.25,0.0,"",""
"","","","00524414","","","MullAdd","SightedTransition",-0.03,0.0,"",""
"","","","00524414","","","MullAdd","Weight",0.3,0.0,"",""
"","","","00524414","","","MullAdd","Value",0.4,0.0,"",""
"","","","00524414","","","Add","Durability",-2,0,"",""
"","","","00797d0c","","","Add","Keywords","0078e167 / AnimsMeltdown",2,"",""
"","","","00797d0c","","","Add","Keywords","00025014 / dn_HasBarrel_Long",2,"",""
"00797d0b","mod_Meltdown_Grip_Standard","Standard Stock","00797d0b","0002249f_ap_gun_Grip","007970e7_ma_Meltdown"
"","","","00524415","","","MullAdd","RecoilMaxDegree",-0.125,0.0,"",""
"","","","00524415","","","MullAdd","RecoilMinDegree",-0.125,0.0,"",""
"","","","00524415","","","MullAdd","APCost",-0.05,0.0,"",""
"","","","00524415","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524415","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524415","","","Add","Durability",-2,0,"",""
"","","","00524413","","","MullAdd","ConIronSights",-0.05,0.0,"",""
"","","","00524413","","","MullAdd","MaxConDegree",-0.25,0.0,"",""
"","","","00524413","","","MullAdd","MinConDegree",-0.125,0.0,"",""
"","","","00524413","","","MullAdd","SightedTransition",-0.015,0.0,"",""
"","","","00524413","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524413","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524413","","","Add","Durability",-3,0,"",""
"","","","0043b769","","","MullAdd","BaseStability",0.04,0.0,"",""
"","","","0043b769","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMaxDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMinDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","Weight",0.15,0.0,"",""
"","","","0043b769","","","MullAdd","Value",0.2,0.0,"",""
"","","","00797d0b","","","Set","AimAssist","005eeaf4",3,"",""
"","","","00797d0b","","","Set","EquipSlot","00013f45",3,"",""
"","","","00797d0b","","","MullAdd","RecoilMaxDegree",0.13,0.0,"",""
"","","","00797d0b","","","MullAdd","RecoilMinDegree",0.13,0.0,"",""
"","","","00797d0b","","","MullAdd","APCost",0.05,0.0,"",""
"","","","00797d0b","","","MullAdd","Weight",0.35,0.0,"",""
"","","","00797d0b","","","Add","Keywords","000464ef / AnimsGripRifleStraight",2,"",""
"","","","00797d0b","","","Add","Keywords","0004a0a1 / WeaponTypeRifle",2,"",""
"","","","00797d0b","","","Add","Keywords","000ece7d / dn_HasGrip_StockShort",2,"",""
"","","","00797d0b","","","Add","Keywords","0008530a / s_35_GripRifle",2,"",""
"","","","00797d0b","","","Add","Keywords","0050d614 / UI_WeaponTypeLaserRifle",2,"",""
"00797d0a","zzzmod_Meltdown_Barrel_Recoil","Stabilized Automatic Barrel","00797d0a","0002249d_ap_gun_Barrel",""
"","","","0027abfa","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0027abfa","","","MullAdd","MaxRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
"","","","0027abfa","","","MullAdd","MinRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
"","","","0027abfa","","","MullAdd","Value",0.2,0.0,"",""
"","","","0027abfa","","","Add","Durability",-3,0,"",""
"","","","00524416","","","MullAdd","RecoilMaxDegree",0.5,0.0,"",""
"","","","00524416","","","MullAdd","RecoilMinDegree",0.5,0.0,"",""
"","","","00524419","","","MullAdd","RecoilMaxDegree",-0.25,0.0,"",""
"","","","00524419","","","MullAdd","RecoilMinDegree",-0.25,0.0,"",""
"","","","00524419","","","MullAdd","Weight",0.3,0.0,"",""
"","","","00524419","","","MullAdd","Value",0.4,0.0,"",""
"","","","00524419","","","Add","Durability",-2,0,"",""
"","","","00797d0a","","","Add","Keywords","0078e167 / AnimsMeltdown",2,"",""
"","","","00797d0a","","","Add","Keywords","00025014 / dn_HasBarrel_Long",2,"",""
"00797d0d","zzzmod_Meltdown_Barrel_Aligned","Aligned Automatic Barrel","00797d0d","0002249d_ap_gun_Barrel",""
"","","","0027abfa","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0027abfa","","","MullAdd","MaxRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
"","","","0027abfa","","","MullAdd","MinRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
"","","","0027abfa","","","MullAdd","Value",0.2,0.0,"",""
"","","","0027abfa","","","Add","Durability",-3,0,"",""
"","","","00524416","","","MullAdd","RecoilMaxDegree",0.5,0.0,"",""
"","","","00524416","","","MullAdd","RecoilMinDegree",0.5,0.0,"",""
"","","","00524415","","","MullAdd","RecoilMaxDegree",-0.125,0.0,"",""
"","","","00524415","","","MullAdd","RecoilMinDegree",-0.125,0.0,"",""
"","","","00524415","","","MullAdd","APCost",-0.05,0.0,"",""
"","","","00524415","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524415","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524415","","","Add","Durability",-2,0,"",""
"","","","00524413","","","MullAdd","ConIronSights",-0.05,0.0,"",""
"","","","00524413","","","MullAdd","MaxConDegree",-0.25,0.0,"",""
"","","","00524413","","","MullAdd","MinConDegree",-0.125,0.0,"",""
"","","","00524413","","","MullAdd","SightedTransition",-0.015,0.0,"",""
"","","","00524413","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524413","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524413","","","Add","Durability",-3,0,"",""
"","","","00797d0d","","","Add","Keywords","0078e167 / AnimsMeltdown",2,"",""
"","","","00797d0d","","","Add","Keywords","00025014 / dn_HasBarrel_Long",2,"",""
"00797b89","zzzmod_Meltdown_Sights_Base","Standard Sights","00797b89","00022499_ap_gun_Scope",""
"","","","00797b89","","","Add","Keywords","0016304f / dn_HasScope_IronSights",2,"",""
"","","","00797b89","","","Add","Keywords","00044455 / remapNode_CFrontSight_P-FrontSight",2,"",""
"00797b8a","zzzmod_Meltdown_Barrel_Base","Standard Automatic Barrel","00797b8a","0002249d_ap_gun_Barrel",""
"","","","0027abfa","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0027abfa","","","MullAdd","MaxRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
"","","","0027abfa","","","MullAdd","MinRange",1.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
"","","","0027abfa","","","MullAdd","Value",0.2,0.0,"",""
"","","","0027abfa","","","Add","Durability",-3,0,"",""
"","","","00524416","","","MullAdd","RecoilMaxDegree",0.5,0.0,"",""
"","","","00524416","","","MullAdd","RecoilMinDegree",0.5,0.0,"",""
"","","","00797b8a","","","Add","Keywords","0078e167 / AnimsMeltdown",2,"",""
"","","","00797b8a","","","Add","Keywords","00025014 / dn_HasBarrel_Long",2,"",""
"00797b88","mod_Meltdown_Grip_None_Base","No Stock","00797b88","0002249f_ap_gun_Grip","007970e7_ma_Meltdown"
"","","","0043b769","","","MullAdd","BaseStability",0.04,0.0,"",""
"","","","0043b769","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMaxDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMinDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","Weight",0.15,0.0,"",""
"","","","0043b769","","","MullAdd","Value",0.2,0.0,"",""
"","","","00797b88","","","Set","AimAssist","005eeaf4",3,"",""
"","","","00797b88","","","Set","EquipSlot","00013f45",3,"",""
"","","","00797b88","","","MullAdd","BaseStability",-0.04,0.0,"",""
"","","","00797b88","","","MullAdd","ConIronSights",0.25,0.0,"",""
"","","","00797b88","","","MullAdd","RecoilMaxDegree",0.1,0.0,"",""
"","","","00797b88","","","MullAdd","RecoilMinDegree",0.1,0.0,"",""
"","","","00797b88","","","Add","Keywords","000464ef / AnimsGripRifleStraight",2,"",""
"","","","00797b88","","","Add","Keywords","0004a0a1 / WeaponTypeRifle",2,"",""
"","","","00797b88","","","Add","Keywords","000ece7d / dn_HasGrip_StockShort",2,"",""
"","","","00797b88","","","Add","Keywords","0008530a / s_35_GripRifle",2,"",""
"","","","00797b88","","","Add","Keywords","0050d614 / UI_WeaponTypeLaserRifle",2,"",""
"00797414","mod_Meltdown_Receiver_ReloadSpeed","Quick-Eject Capacitor","00797414","00024004_ap_gun_receiver","007970e7_ma_Meltdown"
"","","","00524413","","","MullAdd","ConIronSights",-0.05,0.0,"",""
"","","","00524413","","","MullAdd","MaxConDegree",-0.25,0.0,"",""
"","","","00524413","","","MullAdd","MinConDegree",-0.125,0.0,"",""
"","","","00524413","","","MullAdd","SightedTransition",-0.015,0.0,"",""
"","","","00524413","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524413","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524413","","","Add","Durability",-3,0,"",""
"","","","005ae91c","","","Add","Keywords","005ae936 / IsAmmoType_FusionCell",2,"",""
"","","","00797414","","","MullAdd","ReloadSpeed",0.3,0.3,"",""
"","","","00797414","","","MullAdd","Weight",0.35,0.0,"",""
"","","","00797414","","","MullAdd","Keywords","000a191c / s_30_Auto",2,"",""
"","","","00797414","","","Add","Keywords","00431846 / dn_HasReceiver_BetaWave",2,"",""
"00797412","mod_Meltdown_Grip_Recoil","Stabilized Stock","00797412","0002249f_ap_gun_Grip","007970e7_ma_Meltdown"
"","","","00524419","","","MullAdd","RecoilMaxDegree",-0.25,0.0,"",""
"","","","00524419","","","MullAdd","RecoilMinDegree",-0.25,0.0,"",""
"","","","00524419","","","MullAdd","Weight",0.3,0.0,"",""
"","","","00524419","","","MullAdd","Value",0.4,0.0,"",""
"","","","00524419","","","Add","Durability",-2,0,"",""
"","","","0043b769","","","MullAdd","BaseStability",0.04,0.0,"",""
"","","","0043b769","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMaxDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMinDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","Weight",0.15,0.0,"",""
"","","","0043b769","","","MullAdd","Value",0.2,0.0,"",""
"","","","00797412","","","Set","AimAssist","005eeaf4",3,"",""
"","","","00797412","","","Set","EquipSlot","00013f45",3,"",""
"","","","00797412","","","Add","Keywords","00025019 / dn_HasGrip_Rifle",2,"",""
"","","","00797412","","","Add","Keywords","000464ef / AnimsGripRifleStraight",2,"",""
"","","","00797412","","","Add","Keywords","0004a0a1 / WeaponTypeRifle",2,"",""
"","","","00797412","","","Add","Keywords","000ece7d / dn_HasGrip_StockShort",2,"",""
"","","","00797412","","","Add","Keywords","0008530a / s_35_GripRifle",2,"",""
"","","","00797412","","","Add","Keywords","0050d614 / UI_WeaponTypeLaserRifle",2,"",""
"0079740e","zzzmod_Meltdown_Grip_Recoil-HipAccuracy","Aligned Stock","0079740e","0002249f_ap_gun_Grip",""
"","","","00524415","","","MullAdd","RecoilMaxDegree",-0.125,0.0,"",""
"","","","00524415","","","MullAdd","RecoilMinDegree",-0.125,0.0,"",""
"","","","00524415","","","MullAdd","APCost",-0.05,0.0,"",""
"","","","00524415","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524415","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524415","","","Add","Durability",-2,0,"",""
"","","","00524413","","","MullAdd","ConIronSights",-0.05,0.0,"",""
"","","","00524413","","","MullAdd","MaxConDegree",-0.25,0.0,"",""
"","","","00524413","","","MullAdd","MinConDegree",-0.125,0.0,"",""
"","","","00524413","","","MullAdd","SightedTransition",-0.015,0.0,"",""
"","","","00524413","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524413","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524413","","","Add","Durability",-3,0,"",""
"","","","0043b769","","","MullAdd","BaseStability",0.04,0.0,"",""
"","","","0043b769","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMaxDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMinDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","Weight",0.15,0.0,"",""
"","","","0043b769","","","MullAdd","Value",0.2,0.0,"",""
"","","","0079740e","","","Set","AimAssist","005eeaf4",3,"",""
"","","","0079740e","","","Set","EquipSlot","00013f45",3,"",""
"","","","0079740e","","","Add","Keywords","00025019 / dn_HasGrip_Rifle",2,"",""
"","","","0079740e","","","Add","Keywords","000464ef / AnimsGripRifleStraight",2,"",""
"","","","0079740e","","","Add","Keywords","0004a0a1 / WeaponTypeRifle",2,"",""
"","","","0079740e","","","Add","Keywords","000ece7d / dn_HasGrip_StockShort",2,"",""
"","","","0079740e","","","Add","Keywords","0008530a / s_35_GripRifle",2,"",""
"","","","0079740e","","","Add","Keywords","0050d614 / UI_WeaponTypeLaserRifle",2,"",""
"00797416","zzzmod_Meltdown_Receiver_Burning-FastTrigger","Wave Tuner","00797416","00024004_ap_gun_receiver",""
"","","","0043c167","","","MullAdd","APCost",-0.1,0.0,"",""
"","","","0043c167","","","MullAdd","ReloadSpeed",0.2,0.0,"",""
"","","","0043c167","","","MullAdd","Speed",0.25,0.0,"",""
"","","","0043c167","","","MullAdd","Weight",0.075,0.0,"",""
"","","","0043c167","","","MullAdd","Value",0.3,0.0,"",""
"","","","0043c167","","","Add","Durability",-4,0,"",""
"","","","003d4e69","","","MullAdd","MaxRange",0.2,0.0,"",""
"","","","003d4e69","","","MullAdd","MinRange",0.2,0.0,"",""
"","","","003d4e69","","","MullAdd","Weight",0.025,0.0,"",""
"","","","003d4e69","","","MullAdd","AmmoCapacity",0.2,0.0,"",""
"","","","003d4e69","","","MullAdd","Value",0.1,0.0,"",""
"","","","003d4e69","","","Add","Durability",-5,0,"",""
"","","","003d4e69","","","Add","Keywords","0051850d / WeaponTypeFireDamage",2,"",""
"","","","005ae91c","","","Add","Keywords","005ae936 / IsAmmoType_FusionCell",2,"",""
"","","","00797416","","","MullAdd","Keywords","000a191c / s_30_Auto",2,"",""
"","","","00797416","","","Add","Keywords","0043183f / dn_HasReceiver_Tuned",2,"",""
"00797411","zzzmod_Meltdown_Grip_HipAccuracy-SecondaryDMG","Precise Stock","00797411","0002249f_ap_gun_Grip",""
"","","","00524413","","","MullAdd","ConIronSights",-0.05,0.0,"",""
"","","","00524413","","","MullAdd","MaxConDegree",-0.25,0.0,"",""
"","","","00524413","","","MullAdd","MinConDegree",-0.125,0.0,"",""
"","","","00524413","","","MullAdd","SightedTransition",-0.015,0.0,"",""
"","","","00524413","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524413","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524413","","","Add","Durability",-3,0,"",""
"","","","0052441c","","","MullAdd","SecondaryDamage",0.0,0.0,"","Weapons\WeaponMods\Weapon_PARENT_Mod_Grip_SecDamage_Dual.json
{'curve': [{'x': 1, 'y': 0.25}, {'x': 100, 'y': 0.25}]}"
"","","","0052441c","","","MullAdd","Weight",0.15,0.0,"",""
"","","","0052441c","","","MullAdd","Value",0.3,0.0,"",""
"","","","0052441c","","","Add","Durability",0,0,"","Weapons\Weap_10mmDMG.json
{'curve': [{'x': 1, 'y': 15}, {'x': 5, 'y': 15}, {'x': 10, 'y': 15}, {'x': 15, 'y': 18}, {'x': 20, 'y': 18}, {'x': 25, 'y': 21}, {'x': 30, 'y': 21}, {'x': 35, 'y': 24}, {'x': 40, 'y': 24}, {'x': 45, 'y': 28}, {'x': 50, 'y': 28}]}"
"","","","0043b769","","","MullAdd","BaseStability",0.04,0.0,"",""
"","","","0043b769","","","MullAdd","ConIronSights",-0.25,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMaxDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","RecoilMinDegree",-0.1,0.0,"",""
"","","","0043b769","","","MullAdd","Weight",0.15,0.0,"",""
"","","","0043b769","","","MullAdd","Value",0.2,0.0,"",""
"","","","00797411","","","Set","AimAssist","005eeaf4",3,"",""
"","","","00797411","","","Set","EquipSlot","00013f45",3,"",""
"","","","00797411","","","Add","Keywords","00025019 / dn_HasGrip_Rifle",2,"",""
"","","","00797411","","","Add","Keywords","000464ef / AnimsGripRifleStraight",2,"",""
"","","","00797411","","","Add","Keywords","0004a0a1 / WeaponTypeRifle",2,"",""
"","","","00797411","","","Add","Keywords","000ece7d / dn_HasGrip_StockShort",2,"",""
"","","","00797411","","","Add","Keywords","0008530a / s_35_GripRifle",2,"",""
"","","","00797411","","","Add","Keywords","0050d614 / UI_WeaponTypeLaserRifle",2,"",""
"0079740d","zzzmod_Meltdown_Receiver_CritDMG-HipAccuracy","Vicious Capacitor","0079740d","00024004_ap_gun_receiver",""
"","","","0027ac23","","","MullAdd","MaxConDegree",-0.05,0.0,"",""
"","","","0027ac23","","","MullAdd","MinConDegree",-0.05,0.0,"",""
"","","","0027ac23","","","MullAdd","Weight",0.075,0.0,"",""
"","","","0027ac23","","","MullAdd","Value",0.4,0.0,"",""
"","","","0027ac23","","","Add","CriticalDamageMult",0.5,0.0,"",""
"","","","0027ac23","","","Add","Durability",-3,0,"",""
"","","","00524413","","","MullAdd","ConIronSights",-0.05,0.0,"",""
"","","","00524413","","","MullAdd","MaxConDegree",-0.25,0.0,"",""
"","","","00524413","","","MullAdd","MinConDegree",-0.125,0.0,"",""
"","","","00524413","","","MullAdd","SightedTransition",-0.015,0.0,"",""
"","","","00524413","","","MullAdd","Weight",0.05,0.0,"",""
"","","","00524413","","","MullAdd","Value",0.2,0.0,"",""
"","","","00524413","","","Add","Durability",-3,0,"",""
