"Id","Name","Full Name","Type","Time","Activity","Target","Duration","Range","Perk","Effects"
"00783158","Storm_MQ08_LostSpell","","Ability",0.0,"Constant","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '00783156', 'name': 'Storm_MQ08_LostSpellEffect', 'full': 'Storm_MQ08_EmpoweredLost', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Script', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00783157'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"00785682","MILE_CaravanEscort_CleanupSpell","","Spell",0.0,"Fire","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '0078567f', 'name': 'MILE_CaravanEscort_BrahminCleanup', 'full': 'Caravan Cleanup', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Script', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 180, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0077ee62","PoisonRadturkey","Toxic Radturkey Poison","Spell",0.0,"Fire","Contact",0.0,0.0,"00000000","[{'m_effect': {'id': '001fe6a2', 'name': 'crPoisonEffect', 'full': 'Damage Type Poison', 'keywords': ['DamageTypePoison'], 'd_type': {'id': '00060a84', 'name': 'dtPoison', 'full': 'Poison Damage'}, 'resist': {'id': '000002e4', 'name': 'PoisonResist', 'full': 'Poison Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Fire', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 5.0, 'area': 0, 'duration': 5, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0077d52d","crOvergrownBossPoisonCloak_XPD_AC_DailyOps","Poison Cloak","Ability",1.0,"Constant","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '0077d52c', 'name': 'crOvergrownBossPoisonCloakEffect_XPD_AC_DailyOps', 'full': 'Poison Cloak', 'keywords': [], 'd_type': '0073a9c3', 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Cloak', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 15.0, 'area': 20, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0077b58c","zzz_DeletedSpell","","Spell",0.0,"Fire","Self",0.0,0.0,"00000000","[]"
"0077b58a","zzz_DeletedSpell02","","Spell",0.0,"Fire","Contact",0.0,0.0,"00000000","[]"
"0077b58d","Conductor_ExplosionSpell","ConductorExplosionSpell","Spell",0.0,"Fire","Contact",0.0,0.0,"00000000","[{'m_effect': {'id': '0077b573', 'name': 'ConductorExplosionSpellEffect', 'full': 'Spawns Explosion', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': {'id': '0077b571', 'name': 'zzz_removedExplosion', 'enchantment': '', 'damage_mult': 0, 'object': '', 'projectile': '00000000', 'exp_curv': '00000000', 'force': 0.0, 'damage': 0.0, 'd_type': '', 'd_value': 0, 'd_curv': '00000000'}, 'a_type': 'Damage', 'e_type': 'Fire', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1.0, 'area': 100, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0077b589","Conductor_FullyCharged","Conductor Fully Charged","Ability",0.0,"Fire","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '0077b576', 'name': 'Conductor_FullyChargedEffect', 'full': 'Fully Charged Conductor', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '0077b570', 'name': 'ConductorActorValue', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '0077b57e'}, 'magnitude': 1.0, 'area': 0, 'duration': 60, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0077b58b","RestoreHungerThirstLightMealSpell02","Light Meal","Spell",0.0,"Fire","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '0077b575', 'name': 'RestoreHungerLightMeal', 'full': 'Light Meal', 'keywords': [], 'd_type': '00002ab9', 'resist': '00000000', 'actor_value1': {'id': '0001c5e6', 'name': 'SURV_Hunger', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1000.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0077b577', 'name': 'RestoreThirstLightMealEffect', 'full': 'Electric Affinity', 'keywords': [], 'd_type': '0002fa14', 'resist': '00000000', 'actor_value1': {'id': '0001c5e8', 'name': 'SURV_Thirst', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1000.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0077b588","RestoreHungerThirstLightMealSpell01","Light Meal","Spell",0.0,"Fire","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '0077b575', 'name': 'RestoreHungerLightMeal', 'full': 'Light Meal', 'keywords': [], 'd_type': '00002ab9', 'resist': '00000000', 'actor_value1': {'id': '0001c5e6', 'name': 'SURV_Hunger', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 500.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0077b577', 'name': 'RestoreThirstLightMealEffect', 'full': 'Electric Affinity', 'keywords': [], 'd_type': '0002fa14', 'resist': '00000000', 'actor_value1': {'id': '0001c5e8', 'name': 'SURV_Thirst', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 500.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0077b587","Conductor_ChargeCounter","Conductor Charge Counter","Spell",0.0,"Fire","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '0077b572', 'name': 'Conductor_ChargeCounterEffect', 'full': 'Build Conductor Charges', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '0077b570', 'name': 'ConductorActorValue', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
