"Id","Name","Full Name","Effects"
"0077fa26","MN2_Mischief_ProgressFanfarePerk","","[]"
"0077b580","Legendary_Weapon_MedicPerk","","[{'e_type': 'Function', 'entry': 'ApplyFriendlyHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0079c8a9', 'name': 'PerkMedicSpell', 'full': 'Medic', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '003e956a', 'mag_effects': [{'m_effect': {'id': '001f109e', 'name': 'Legendary_Medic', 'full': 'Medic', 'keywords': [], 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Stimpack', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 5.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}]"
"0077b57f","LightMeal02","Light Meal","[{'e_type': 'Function', 'entry': 'ApplyCombatHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0077b58b', 'name': 'RestoreHungerThirstLightMealSpell02', 'full': 'Light Meal', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '0077b575', 'name': 'RestoreHungerLightMeal', 'full': 'Light Meal', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0001c5e6', 'name': 'SURV_Hunger', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1000.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}, {'m_effect': {'id': '0077b577', 'name': 'RestoreThirstLightMealEffect', 'full': 'Electric Affinity', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0001c5e8', 'name': 'SURV_Thirst', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1000.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}]"
"0077b57e","Conductor_MeleeExplosionPerk","","[{'e_type': 'Function', 'entry': 'ApplyCombatMeleeSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0077b58d', 'name': 'Conductor_ExplosionSpell', 'full': 'ConductorExplosionSpell', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Contact', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '0077b573', 'name': 'ConductorExplosionSpellEffect', 'full': 'Spawns Explosion', 'keywords': [], 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': {'id': '0077b571', 'name': 'zzz_removedExplosion', 'enchantment': '', 'object': '', 'projectile': '00000000', 'exp_curv': '00000000', 'force': 0.0, 'damage': 0.0, 'd_type': '', 'd_value': 0, 'd_curv': '00000000'}, 'a_type': 'Damage', 'e_type': 'Fire', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1.0, 'area': 100, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}]"
"0077b581","zzz_DEL_removedperk01","","[]"
"0077b57d","zzz_DEL_removedperk02","","[]"
"0077b57c","LightMeal01","Light Meal","[{'e_type': 'Function', 'entry': 'ApplyCombatHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0077b588', 'name': 'RestoreHungerThirstLightMealSpell01', 'full': 'Light Meal', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '0077b575', 'name': 'RestoreHungerLightMeal', 'full': 'Light Meal', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0001c5e6', 'name': 'SURV_Hunger', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 500.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}, {'m_effect': {'id': '0077b577', 'name': 'RestoreThirstLightMealEffect', 'full': 'Electric Affinity', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0001c5e8', 'name': 'SURV_Thirst', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 500.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}]"
"0077b57b","Conductor01","Conductor","[{'e_type': 'Function', 'entry': 'ApplyCombatHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0077b587', 'name': 'Conductor_ChargeCounter', 'full': 'Conductor Charge Counter', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '0077b572', 'name': 'Conductor_ChargeCounterEffect', 'full': 'Build Conductor Charges', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0077b570', 'name': 'ConductorActorValue', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}, {'e_type': 'Function', 'entry': 'ApplyCombatHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0077b589', 'name': 'Conductor_FullyCharged', 'full': 'Conductor Fully Charged', 'type': 'Ability', 'time': 0.0, 'e_type': 'Fire', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '0077b576', 'name': 'Conductor_FullyChargedEffect', 'full': 'Fully Charged Conductor', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0077b570', 'name': 'ConductorActorValue', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '0077b57e'}, 'magnitude': 1.0, 'area': 0, 'duration': 60, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}]"
"0077176b","Legendary_LastShot_Roll_Perk","Last Shot Perk","[{'e_type': 'Function', 'entry': '198', 'op': 'AddValue', 'v_type': 1, 'value': 1.0}]"
"0076e915","ImmuneToExplosions","","[{'e_type': 'Function', 'entry': 'IncomingExpDamage', 'op': 'SetValue', 'v_type': 1, 'value': 0.0}]"
"0076cccc","ArmorPerk_XPD_AC_Muni_WeaponDurability","Increase Weapon Durability","[{'e_type': 'Function', 'entry': 'LossCondition', 'op': 'MulValue', 'v_type': 1, 'value': 0.6499999761581421}]"
"0076ed18","StormCutterPerk","StormCutterPerk","[{'e_type': 'Function', 'entry': 'ApplyHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0076ed17', 'name': 'StormCutterExplosionSpell', 'full': 'StormCutter Explosion', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Contact', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '0076ed15', 'name': 'StormCutterEffect_Explosion', 'full': 'StormCutter Effect', 'keywords': ['DamageTypeEnergy'], 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': {'id': '0076ed13', 'name': 'crExplosionStormCutter', 'enchantment': '', 'object': '', 'projectile': '00000000', 'exp_curv': '00000000', 'force': 0.0, 'damage': 0.0, 'd_type': '', 'd_value': 0, 'd_curv': '00000000'}, 'a_type': 'Script', 'e_type': 'Fire', 'target': 'Target', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 1, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}, {'e_type': 'Function', 'entry': 'ApplyHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '0076ed1a', 'name': 'StormCutterImpactSpell', 'full': 'StormCutter Stun', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Contact', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '0076ed19', 'name': 'StormCutterEffect_Stun', 'full': 'StormCutter Effect', 'keywords': [], 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Stunned', 'e_type': 'Fire', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 50, 'duration': 5, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}, {'m_effect': {'id': '0076ed14', 'name': 'StormCutterEffect_Area_Damage', 'full': 'StormCutter Damge Effect', 'keywords': ['DamageTypeEnergy'], 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Fire', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 5.0, 'area': 50, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ""Weapons\\WeaponMods\\CircuitBreaker_SpellAreaDmg.json\n{'curve': [{'x': 10, 'y': 5}, {'x': 20, 'y': 7.5}, {'x': 30, 'y': 10}, {'x': 40, 'y': 15}, {'x': 50, 'y': 20}]}""}, {'m_effect': {'id': '0076ed16', 'name': 'StormCutter_DamageHealthContact', 'full': 'Damage Health', 'keywords': ['DamageTypeEnergy'], 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Fire', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 25.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ""Weapons\\WeaponMods\\CircuitBreaker_SpellImpactDmg.json\n{'curve': [{'x': 10, 'y': 25}, {'x': 20, 'y': 40}, {'x': 30, 'y': 60}, {'x': 40, 'y': 75}, {'x': 50, 'y': 100}]}""}]}}]"
"0076c38b","SURV_Disease_GlowingPustules_Perk","","[{'e_type': 'Function', 'entry': 'ApplyCombatHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '004b0096', 'name': 'SURV_Disease_GlowingPustules_OnHit', 'full': 'Bleeding (Glowing Pustules)', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Target', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '004b0097', 'name': 'SURV_Disease_GlowingPustules_OnHit_DamageRads', 'full': 'SURV_Disease_ExplosivePustules_OnHit_DamageRads', 'keywords': ['SURV_Disease_GlowingPustules_OnHit_DispelSelf'], 'resist': '00000000', 'actor_value1': {'id': '000002e1', 'name': 'Rads', 'full': 'Rads'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Target', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 1.5, 'area': 0, 'duration': 5, 'actor': '', 'glob_duration': {'id': '003dc9d3', 'name': 'SURV_Disease_OnHit_Damage_Duration', 'value': 5.0}, 'glob_magnitude': '', 'd_curv': ''}]}}]"
"0076108d","MILE_BrahminHurryPerk","","[{'e_type': 'Function', 'entry': 'Activate', 'op': 'AddActivate', 'v_type': 4, 'value': ''}]"
"007521e5","ATX_COMP_Adelaide_Perk_HumanRobotInterface","Human/Robot Interfacing","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.75}, {'e_type': 'Function', 'entry': 'WeaponDamageBonusMult', 'op': 'AddValue', 'v_type': 1, 'value': 0.15000000596046448}]"
"00746186","AC_SQ03_Custodial_CaptiveActivatePerk","","[{'e_type': 'Function', 'entry': 'Activate', 'op': 'AddActivate', 'v_type': 4, 'value': ''}]"
"0075e505","Storm_E01_ChargedCreaturePerk","StormBossResistances","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.4000000059604645}, {'e_type': 'Function', 'entry': 'Stagger', 'op': 'SetValue', 'v_type': 1, 'value': 0.0}, {'e_type': 'Function', 'entry': 'WeaponAttackDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 1.5}]"
"007551dd","zzz_mod_armor_AmplifiedPerk","Electric Weapon Fire Rate Increase","[{'e_type': 'Function', 'entry': 'IncomingWeaponDamage?', 'op': 'Abs', 'v_type': 2}]"
"007546ab","crModIncomingDamage075x","","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.75}]"
"007456f0","crJerseyDevilPacifyNPCPerk","Jersey Devil Pacify Effect","[{'e_type': 'Ability', 'v_type': 0, 'spell': {'id': '00020755', 'name': 'PerkPacify', 'full': 'Perk Pacify', 'type': 'Spell', 'time': 0.0, 'e_type': 'Constant', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '00020754', 'name': 'PerkPacifyEffect', 'full': 'Pacify', 'keywords': [], 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Calm', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 100.0, 'area': 0, 'duration': 60, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}]"
"0073bcd6","DEL_crJerseyDevilExtractBloodPerk","Jersey Devil Blood Extract","[]"
"00739acb","Storm_MQ13_HugoClonePerk","","[{'e_type': 'Function', 'entry': 'WeaponAttackDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.20000000298023224}, {'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.0}]"
"0073450c","NPE_VaultFed_BonusXP_Perk","Reclamation Day!","[{'e_type': 'Function', 'entry': 'Experience', 'op': 'MulValue', 'v_type': 1, 'value': 1.25}]"
"0073470d","crStormBoss_DamageReductionPerk01","Storm Region Boss Damage Mitigation","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.800000011920929}, {'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.0}]"
"00733ccb","Storm_E01_BossPerk","StormBossResistances","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.30000001192092896}, {'e_type': 'Function', 'entry': 'Stagger', 'op': 'SetValue', 'v_type': 1, 'value': 0.0}, {'e_type': 'Function', 'entry': 'WeaponAttackDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 2.5}]"
"00732386","ZZZ_Storm_NukedCreature_Perk","Storm Nuked","[{'e_type': 'Function', 'entry': 'AddItemsOnDeath', 'op': 'AddItem', 'v_type': 3, 'value': '00732384'}]"
"0072f409","Legendary_AmmoCapacityx4Perk","Increased Ammo Capacity Perk","[{'e_type': 'Function', 'entry': 'AmmoCapacityMult?', 'op': 'AddValue', 'v_type': 1, 'value': 3.0}]"
